address	brand	city	lat	lon	name	phone	province	url
黑龙江省大庆市高新技术产业开发区安萨路32号	GAC Toyota	None	46.570219	125.163992	广汽丰田大庆世腾高新区店	0459-60391110459-6039222	None	https://www.gac-toyota.com.cn/province/heilongjiang/daqing/dealer/dqstgxq
哈尔滨市道里区城乡路441号	GAC Toyota	None	45.716589	126.564019	广汽丰田哈尔滨广龙机场路店	0451-88933888	None	https://www.gac-toyota.com.cn/province/heilongjiang/haerbin/dealer/hebgljcl
哈尔滨市道外区先锋路24号	GAC Toyota	None	45.778835	126.743921	广汽丰田哈尔滨龙晟先锋店	0451-82466666	None	https://www.gac-toyota.com.cn/province/heilongjiang/haerbin/dealer/heblsxf
黑龙江省哈尔滨市香坊区学府路403号	GAC Toyota	None	45.661131	126.63079	广汽丰田哈尔滨文华学府路店	0451-88889958	None	https://www.gac-toyota.com.cn/province/heilongjiang/haerbin/dealer/hebwhxfl
哈尔滨经开区哈南工业新城松花路与滨河大道交汇处	GAC Toyota	None	45.602014	126.62833	广汽丰田哈尔滨中升松花路店	0451-51050666	None	https://www.gac-toyota.com.cn/province/heilongjiang/haerbin/dealer/zsshl
黑龙江省佳木斯市郊区友谊路1199号（长青乡四合村）	GAC Toyota	None	46.93299614	130.09765832	广汽丰田佳木斯旭通友谊路店	0454-8880888	None	https://www.gac-toyota.com.cn/province/heilongjiang/jiamusi/dealer/jmsxtyyl
黑龙江省牡丹江市江南开发区乌苏里路41号	GAC Toyota	None	44.56152873	129.63511107	广汽丰田牡丹江绿地兴隆街店	0453-8129444	None	https://www.gac-toyota.com.cn/province/heilongjiang/mudanjiang/dealer/mdjldxlj
黑龙江省齐齐哈尔市龙沙区永安南大街10号	GAC Toyota	None	47.325367	123.941111	广汽丰田齐齐哈尔龙晟齐富路店	0452-8888300	None	https://www.gac-toyota.com.cn/province/heilongjiang/qiqihaer/dealer/qqhelsqfl
绥化市北林区康庄路温馨家园北侧西行200米	GAC Toyota	None	46.61907	126.977864	广汽丰田绥化盛达康庄路店	0455-3585555	None	https://www.gac-toyota.com.cn/province/heilongjiang/suihua/dealer/shsdkzl
黑龙江省双鸭山市集贤县福双路256-1号	GAC Toyota	None	46.707347	131.147915	广汽丰田双鸭山龙晟福双路店	0469-6151111	None	https://www.gac-toyota.com.cn/province/heilongjiang/shuangyashan/dealer/syslsfslf
黑龙江省七台河市桃山区大明街352号	GAC Toyota	None	45.777453	130.977982	广汽丰田七台河龙晟大明街店	0464-8618388	None	https://www.gac-toyota.com.cn/province/heilongjiang/qitaihe/dealer/qthlsdmj
吉林市船营区和平路3466号	GAC Toyota	None	43.87687296	126.52385821	广汽丰田吉林成邦沙河子店	0432-66051111	None	https://www.gac-toyota.com.cn/province/jilin/jilin/dealer/jlcbshz
吉林省松原市经济技术开发区西郭尔罗斯大路2345号	GAC Toyota	None	45.143186	124.776485	广汽丰田松原吉刚经开区店	0438-3111333	None	https://www.gac-toyota.com.cn/province/jilin/songyuan/dealer/syjgjkq
吉林省延吉市经济开发区长白山东路3388号	GAC Toyota	None	42.903743	129.576805	广汽丰田延边大荣开发区店	0433-8396333	None	https://www.gac-toyota.com.cn/province/jilin/yanji/dealer/ybdrkfq
长春市经济技术开发区自由大路7133号	GAC Toyota	None	43.755233	125.080517	广汽丰田长春中升经开区店	0431-84992222	None	https://www.gac-toyota.com.cn/province/jilin/changchun/dealer/cczsjkq
长春市高新区硅谷大街2999号	GAC Toyota	None	43.82820786	125.2656501	广汽丰田长春宝辉高新区店	0431-85556868	None	https://www.gac-toyota.com.cn/province/jilin/changchun/dealer/ccbhgxq
长春市高新区卓越大街与宜居路交汇处	GAC Toyota	None	43.782512	125.221529	广汽丰田长春中升卓越店	0431-89543777	None	https://www.gac-toyota.com.cn/province/jilin/changchun/dealer/zszy
吉林省长春市绿园区景阳大路3756号	GAC Toyota	None	43.88917	125.249656	广汽丰田长春晟孚绿园区店	0431-89127000	None	https://www.gac-toyota.com.cn/province/jilin/changchun/dealer/ccsflyq
吉林省四平市铁东区经济开发区大路5999号	GAC Toyota	None	43.18974924	124.39612519	广汽丰田四平汇田经开店	0434-7777555	None	https://www.gac-toyota.com.cn/province/jilin/siping/dealer/sphtjk
吉林省通化市环通乡长流村新胜北路4588号	GAC Toyota	None	41.793552	125.899753	广汽丰田通化隆孚东昌店	0435-3932777	None	https://www.gac-toyota.com.cn/province/jilin/tonghua/dealer/thlfdc
吉林省白城市经济开发区洮白公路1010号	GAC Toyota	None	45.57906061	122.83636112	广汽丰田白城瑞成经开店	0436-5887222	None	https://www.gac-toyota.com.cn/province/jilin/baicheng/dealer/bcrcjk
鞍山市千山区西环路92号	GAC Toyota	None	41.0702683	122.96075033	广汽丰田鞍山和润德西环店	0412-8499888	None	https://www.gac-toyota.com.cn/province/liaoning/anshan/dealer/ashrdxh
鞍山海城市南外环箭楼居委会281号（正泰电器楼下）	GAC Toyota	None	40.70767586	122.91773149	广汽丰田海城和润德南环店	0412-8050111	None	https://www.gac-toyota.com.cn/province/liaoning/anshan/dealer/ashrdnh
辽宁省本溪市明山区二坊桥南100米	GAC Toyota	None	41.323034	123.876723	广汽丰田本溪中升卧龙店	024-44632888	None	https://www.gac-toyota.com.cn/province/liaoning/benxi/dealer/bxmhwl
辽宁省朝阳市开发区龙泉大街3段8号	GAC Toyota	None	41.591269	120.394883	广汽丰田朝阳中升正茂龙泉店	0421-7235555	None	https://www.gac-toyota.com.cn/province/liaoning/chaoyang/dealer/zszmlq
大连市甘井子区华北路北市商贸街158号	GAC Toyota	None	39.024741	121.632587	广汽丰田大连天巳华北路店	0411-86446988	None	https://www.gac-toyota.com.cn/province/liaoning/dalian/dealer/dltshbl
大连市甘井子区虹港路560号	GAC Toyota	None	38.966906	121.530198	广汽丰田大连中升虹港路店	0411-39796666	None	https://www.gac-toyota.com.cn/province/liaoning/dalian/dealer/dlzshgl
大连市保税区中港北二路18号	GAC Toyota	None	39.04791244	121.84770313	广汽丰田大连庆通中港路店	0411—39219222	None	https://www.gac-toyota.com.cn/province/liaoning/dalian/dealer/dlqtzgl
阜新市经济开发区3路9号	GAC Toyota	None	42.009082	121.621991	广汽丰田阜新和旺开发区店	0418-3890666	None	https://www.gac-toyota.com.cn/province/liaoning/fuxin/dealer/fxhwkfq
辽宁省葫芦岛市龙港区玉皇商城B区	GAC Toyota	None	40.737949	120.884819	广汽丰田葫芦岛川达龙程路店	0429-2667000	None	https://www.gac-toyota.com.cn/province/liaoning/hulu/dealer/hldcdlcl
辽宁省锦州市松山新区锦娘路171号	GAC Toyota	None	41.07913667	121.16900301	广汽丰田锦州卓远松山店	0416-2668888	None	https://www.gac-toyota.com.cn/province/liaoning/jinzhou/dealer/jzzyss
辽阳市太子河区祁家镇繁荣路中段石桥子村	GAC Toyota	None	41.300789	123.135416	广汽丰田辽阳瑞达繁荣路店	0419-3993333	None	https://www.gac-toyota.com.cn/province/liaoning/liaoyang/dealer/lyrdfrl
盘锦市盘山县新县城规划区内(305国道与西外环交汇处)	GAC Toyota	None	41.263952	121.996859	广汽丰田盘锦星海太平店	0427-5681888	None	https://www.gac-toyota.com.cn/province/liaoning/panjin/dealer/pjxhtp
沈阳市大东区北海街10号	GAC Toyota	None	41.83722605	123.47432837	广汽丰田沈阳隆孚大东店	024-88118888	None	https://www.gac-toyota.com.cn/province/liaoning/shen/dealer/sylfdd
沈阳市铁西区北二西路10号	GAC Toyota	None	41.823149	123.356718	广汽丰田沈阳广通行铁西店	024-25518888	None	https://www.gac-toyota.com.cn/province/liaoning/shen/dealer/sygtxtx
沈阳市于洪区沈大路83号	GAC Toyota	None	41.80057696	123.29106655	广汽丰田沈阳华夏于洪店	024-31076666	None	https://www.gac-toyota.com.cn/province/liaoning/shen/dealer/syhxyh
沈阳经济技术开发区沈辽西路183号	GAC Toyota	None	41.731901	123.230807	广汽丰田沈阳中升沈辽路店	024-31064666	None	https://www.gac-toyota.com.cn/province/liaoning/shen/dealer/syxhsll
辽宁省沈阳市和平区下河湾303-2号	GAC Toyota	None	41.699086	123.381754	广汽丰田沈阳中升捷丰和平店	024-31220000	None	https://www.gac-toyota.com.cn/province/liaoning/shen/dealer/zsjfhpd
